agent,count(*)
"VisualDx Apple/7.0.4 (10.0.1;iPhone;mobile)",15640
"VisualDx Apple/7.0.4 (9.3.2;iPhone;mobile)",14894
"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",14423
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",13833
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/537.86.7",13819
"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0",13745
"VisualDx Apple/2.25.1 (10.2.1;iPhone;mobile)",13538
"VisualDx Apple/7.0.4 (9.3.2;iPad;mobile)",13319
"VisualDx Apple/7.0.4 (9.1;iPad;mobile)",13313
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7",13059
"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",12233
"Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)",12218
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10586",12036
"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; rv:11.0) like Gecko",12032
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:52.0) Gecko/20100101 Firefox/52.0",11946
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12",11549
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",11455
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/601.7.8",11270
"Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/7.0)",11112
"VisualDx Apple/2.25.2 (8.2;iPhone;mobile)",11052
"VisualDx Apple/7.1.0 (10.2;iPhone;mobile)",10724
"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1",10549
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",10013
"VisualDx Apple/7.0.4 (9.1;iPhone;mobile)",9808
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",9694
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",9355
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",8954
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:51.0) Gecko/20100101 Firefox/51.0",8880
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:52.0) Gecko/20100101 Firefox/52.0",8826
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36",8730
"VisualDx Apple/7.0.4 (9.3.4;iPhone;mobile)",8698
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36",8687
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",8475
"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET4.0C; .NET4.0E; .NET CLR 3.5.30729; .NET CLR 3.0.30729)",8474
"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0",8386
"VisualDx Apple/7.0.4 (9.3.3;iPhone;mobile)",8386
"VisualDx Android/7.2.14 (Android 7.0-HUAWEIEVA-L19; HUAWEI EVA-L19/EVA;WIFI)",8306
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",8147
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; ISAProxyIE6; rv:11.0) like Gecko",8143
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:52.0) Gecko/20100101 Firefox/52.0",7952
"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",7717
"VisualDx Apple/7.0.4 (9.3.1;iPhone;mobile)",7660
"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Web Preview) Chrome/27.0.1453 Safari/537.36",7620
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/601.6.17",7609
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/6.2.8 Safari/537.85.17",7605
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Safari/602.1.50",7416
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36",6871
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2",6844
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",6684
"VisualDx Android/7.2.11 (Android 5.0-LRX21V; samsung SM-N900T/MSM8974;WIFI)",6448
"modmed%20Practice/1702081650 CFNetwork/808.3 Darwin/16.3.0",6306
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",6262
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",6246
"VisualDx Apple/2.25.1 (9.3.2;iPhone;mobile)",6217
"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36",6138
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.1 Safari/603.1.30",6132
"Mozilla/5.0 (Windows NT 6.1; rv:45.0) Gecko/20100101 Firefox/45.0",6068
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29M; samsung SM-G930V/msm8996;WIFI)",6021
"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1",6008
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36",5919
"Mozilla/5.0 (X11; CrOS x86_64 9000.91.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.110 Safari/537.36",5910
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12",5854
"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; UADFSWIA; rv:11.0) like Gecko",5600
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12",5542
"Mozilla/5.0 (Windows NT 6.3; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0",5476
"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",5444
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; samsung SM-G920V/universal7420;WIFI)",5377
"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",5319
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.76 Safari/537.36",5277
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36",5166
"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; UCH-IE1; rv:11.0) like Gecko",5157
"VisualDx Apple/7.0.4 (9.2;iPhone;mobile)",5154
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",5131
"VisualDx Apple/7.0.4 (10.1;iPhone;mobile)",5067
"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0)",5061
"VisualDx Apple/2.25.2 (10.2;iPhone;mobile)",4982
"VisualDx Android/7.2.14 (Android 7.0-NRD90M; samsung SM-G935T/msm8996;WIFI)",4968
"VisualDx Apple/7.1.0 (9.3.5;iPad;mobile)",4893
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29K; samsung SM-G920V/universal7420;MOBILE)",4884
"Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)",4850
"VisualDx Apple/7.1.0 (10.3;iPhone;mobile)",4820
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36",4807
"modmed%20Practice/1702281713 CFNetwork/808.3 Darwin/16.3.0",4803
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",4776
"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E; InfoPath.3)",4665
"Mozilla/5.0 (Windows NT 5.1; rv:45.0) Gecko/20100101 Firefox/45.0",4580
"Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)",4572
"VisualDx Android/7.2.14 (Android 4.4.4-SU6-7.7; motorola XT1080/MSM8960;WIFI)",4540
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",4508
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",4447
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29M; samsung SM-G930V/msm8996;WIFI)",4375
"VisualDx Apple/7.0.4 (9.2.1;iPhone;mobile)",4366
"Mozilla/5.0 (Windows NT 6.3; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0",4360
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36",4329
"VisualDx Apple/7.1.0 (10.2;iPad;mobile)",4281
"Mozilla/5.0 (iPad; CPU OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1",4152
"VisualDx Android/7.2.11 (Android 5.1.1-LMY47V; samsung SM-T285/SC9830I;WIFI)",4145
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4",4109
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",4079
"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)",4078
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:48.0) Gecko/20100101 Firefox/48.0",4075
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",4056
"VisualDx Apple/7.0.4 (9.3.3;iPad;mobile)",4031
"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36 HubSpot Webcrawler - web-crawlers@hubspot.com",4018
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.76 Safari/537.36",3981
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29M; samsung SM-G935V/msm8996;WIFI)",3969
"VisualDx Android/7.2.14 (Android 7.0-NRD90U; LGE VS987/msm8996;WIFI)",3948
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",3940
"VisualDx Apple/2.24.1 (10.2.1;iPhone;WIFI)",3883
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29M; samsung SM-N910V/APQ8084;WIFI)",3796
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; samsung SM-G920V/universal7420;MOBILE)",3787
"VisualDx Apple/2.25.2 (8.1.3;iPhone;mobile)",3739
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:51.0) Gecko/20100101 Firefox/51.0",3722
"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0",3714
"VisualDx Apple/2.22 (5.1.1;iPad;WIFI)",3713
"VisualDx Apple/7.1.0 (9.3.5;iPhone;mobile)",3691
"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; AKH Wien; rv:11.0) like Gecko",3681
"VisualDx Apple/2.25.0 (10.2.1;iPhone;mobile)",3670
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36",3663
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29M; samsung SM-G935V/msm8996;MOBILE)",3609
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/601.5.17 (KHTML, like Gecko) Version/9.1 Safari/601.5.17",3538
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29M; samsung SM-G930V/msm8996;MOBILE)",3525
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.1 Safari/603.1.30",3525
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.87 Safari/537.36",3510
"VisualDx Android/7.2.14 (Android 7.1.1-NOF27B; Google Pixel XL/marlin;WIFI)",3508
"VisualDx Apple/7.0.4 (10.0;iPhone;mobile)",3497
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29P; asus P01M/EeePad;WIFI)",3466
"VisualDx Apple/7.0.4 (9.2;iPad;mobile)",3442
"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)",3434
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",3348
"VisualDx Apple/7.0.4 (9.2.1;iPad;mobile)",3328
"Xenu Link Sleuth/1.3.8",3318
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29M; samsung SAMSUNG-SM-G930A/msm8996;WIFI)",3304
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",3281
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.80 Safari/537.36",3254
"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36",3213
"Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1",3202
"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36",3199
"VisualDx Android/7.2.14 (Android 7.1.1-N4F26T; LGE Nexus 5X/bullhead;WIFI)",3185
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",3173
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36",3123
"VisualDx Apple/2.25.2 (8.1.1;iPhone;mobile)",3117
"VisualDx Apple/2.25.2 (8.0;iPad;mobile)",3115
"Mozilla/5.0 (Windows NT 6.1; KIOSK; Trident/7.0; rv:11.0) like Gecko",3071
"VisualDx Apple/2.25.2 (10.2.1;iPad;mobile)",3069
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29K; samsung SM-G920V/universal7420;WIFI)",3067
"VisualDx Android/7.2.14 (Android 7.0-NRD90M; samsung SAMSUNG-SM-G930A/msm8996;WIFI)",3047
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29M; samsung SM-N910V/APQ8084;MOBILE)",3032
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29M; samsung SM-N910V/APQ8084;WIFI)",3021
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",3016
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",2952
"VisualDx Apple/2.25.2 (8.1.2;iPhone;mobile)",2934
"VisualDx Android/7.2.11 (Android 6.0.1-MMB29K; samsung SM-G930F/universal8890;MOBILE)",2924
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",2917
"VisualDx Android/7.2.14 (Android 6.0.1-MMB29K; samsung SM-N920V/universal7420;MOBILE)",2910
"VisualDx Apple/7.1.0 (9.3;iPad;mobile)",2873
"VisualDx Android/7.2.11 (Android 7.1.1-NOF26V; Google Pixel/sailfish;MOBILE)",2847
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9",2829
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.65 Safari/537.36",2762
"VisualDx Apple/2.25.1 (10.1.1;iPad;mobile)",2761
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/8.0.7 Safari/600.7.12",2751
"Mozilla/5.0 (Windows NT 6.1; Trident/7.0; UADFSWIA; rv:11.0) like Gecko",2728
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.1 Safari/603.1.30",2721
"VisualDx Apple/2.25.2 (8.4.1;iPad;mobile)",2696
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Safari/602.1.50",2633
"VisualDx Apple/2.25.2 (8.3;iPad;mobile)",2625
"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MAFSJS; rv:11.0) like Gecko",2622
"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG-SM-G920A Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36",2618
"VisualDx Android/7.2.14 (Android 7.0-NRD90M; samsung SM-G930P/msm8996;MOBILE)",2611
"VisualDx Apple/7.0.2 (10.2;iPhone;mobile)",2580
"VisualDx Apple/2.19 (8.4.1;iPad;WIFI)",2575
"VisualDx Apple/2.25.0 (10.2.1;iPad;mobile)",2568
